Date	Clock	School	Level	Group	#Students	Gene_ID	Chr_number	Plant_part_highlight	Plan_highlight_analysis	Mean_and_Median	Tau_index	Specific_to	Hypothesis	Hypothesis_analysis	Enjoy_tobe_Detective	Ever_heard_of_GE	Learned	Like	Improvement
21/10/24	08:53:31	VRB	2	1	3	Glyma.11G234600	11	Seedling and Root	Accurate	Seedling: mean 41.396421, median 50.0121085 Epicotyl: mean 26.312993, median 25.8171098	High. 0,494	Seedling	It aids in plant development, such as in germination.         	Inaccurate	Yes	No	Soybean, how it germinates, and the external and internal parts of the plant.	The presenters' explanations.	None
21/10/24	10:33:29	VRB	3	2	4	Glyma.10G246300	10	Seed	Accurate	Seed: 557.54  Embryo: 1045.86	796	No	Endosperm	Inaccurate	Yes	No	The development of soybean	That part of being a detective.	No, everything is great!
21/10/24	10:33:32	VRB	3	3	4	Glyma.01G079550	1	Seed Coat	Accurate	seed coat 1 193047, Mean: 18	High. 0,88	It is specific to certain parts: seed coat, suspensor, and endosperm.         	It is responsible for the growth and nutrition of the plant.	Accurate	Yes	Yes	Analyzing the plant's genes, their categories, how they develop, and the specific parts of the gene.	The explanation of the process of plant formation and others.	No
21/10/24	10:36:06	VRB	3	4	3	Glyma.11G234600	11	Seedling	Accurate	50.0	494	Broad	AMINO ACID TRANSPORTER	Accurate	Yes	Yes	About Soybean	Research	Nothing
21/10/24	10:37:50	VRB	3	5	5	Glyma.11G234600	2	Leaf	Inaccurate	Mean-13.6 median-9.6	High. 1	Pod	It is related to the pod.         	Inaccurate	Yes	Yes	About Soybean	Truffle	The presentation was perfect
27/11/24	15:14:35	CEFET	3	6	2	Glyma.16G043200	16	Leaf, root, nodule	Accurate	Pod = 96.95 / 95.98 Seedling = 67.7 / 66.98 Nodule = 64.02 / 113.30 Leaf and root appear more prominently in red on the t-SNE plot; however, in the Mean and Median plot, they have low values.	High. 0.627	It is not specific to certain parts.	It helps the plant withstand very high temperatures and drought, meaning they do not dry out easily and can survive longer without water, adapting better to these conditions.	Accurate	Yes	Yes	I learned more about soybean genes and their DNA classifications.	I liked the part of being a detective.	No, it was great
27/11/24	15:16:49	CEFET	3	7	2	Glyma.18G045000	18	In almost the entire plant	Accurate	median: 128.73158 Mean: 135.20973	Low. 0,131	No.	It is present in almost the entire plant, so it may be involved in the transport of nutrients and proteins throughout the plant.	Accurate	Yes	Yes	We learned how to identify gene expression in a plant.	The graphs	Translation of the graphs
27/11/24	15:18:48	CEFET	3	8	2	Glyma.02G069200	2	Leaf and pod	Accurate	mean: folha - 2.75 TPM vagem - 13.65 TPM  Median: folha- 0 vagem- 9.67 TPM	High. 1	Yes, pod specific.	The function of this gene is to produce nutrients, which help maintain the integrity of mucous membranes, aiding in defense against external agents.	Inaccurate	Yes	Yes	We learned how to identify gene expression in a plant.	The use of the "soyaltas" website to solve the mystery.	None.
27/11/24	15:19:02	CEFET	3	9	1	Glyma.01G079550	1	Seed coat and suspensor, the TPM scale was adjusted with a minimum of 0 and a maximum of 60.         	Accurate	median: Suspensor - 14.3TPM e o Seet Coat - 11.9TPM; Mean: Suspensor - 9.7TPM e o Seet Coat - 18.6TPM	High. 0,88	Yes, it is specific to the seed coat, suspensor, and endosperm.	My hypothesis is that the gene forms the coating of the embryo, creating the seed around it.         	Accurate	Yes	No	I learned how to use the website and explore the genes.	The gene activity part.	No
27/11/24	15:22:05	CEFET	3	10	1	Glyma.08G183500	8	Seed and seed coat	Accurate	median: 1517.3299370 e Mean: 1.533064e+03	0,912	Seed coat, seed, suspensor, endosperm	Sugar transporter	Accurate	Yes	No	About soybean DNA and gene expressions.	How to identify the genes or the chromosome's position.	No
27/11/24	15:22:20	CEFET	3	11	2	Glyma.02G121600	2	Flower and leaf	Accurate	Flower: Mean: 2.671351e+01TPM median: 26.3137810 TPM	High: 0.987	Yes, flower specific. 	The regulation of growth and fertilization processes ensures plant reproduction and the formation of new plants. It plays a regulatory role in the flower.	Accurate	Yes	Yes	Important information about DNA, specifically in soybeans.	The dynamic learning.	No.
27/11/24	15:25:56	CEFET	3	12	2	Glyma.05G244100	5	Embryo, seed and seed coat	Accurate	Seed: median:125 Mean:282 Embryo:  Medina:280 Mean:070	0,713 high	No, it is not specific to any part of the plant.	Our hypothesis is that this function is related to the regulatory process of the seed.	Accurate	Yes	Yes	That soybeans have many more genes than humans.	Discovering the gene's function.	No
28/11/24	14:34:02	CEFET	2	13	2	Glyma.04G116500	4	In almost the entire graph, as it is involved in regulatory processes	Accurate	Median: 131.48705. Mean: 136.61737	High (Broad) 0.154	No	It regulates photosynthesis.	Accurate	Yes	No	The genetics of soybeans and the fact that they have more genes than humans!	The detective part, the dynamic.	No, very good!
28/11/24	14:38:08	CEFET	2	14	2	Glyma.06G290100	6	Yes, the gene is located in the seed and embryo regions         	Accurate	median = 22.98 Mean = 36.03	0,716	Yes, Higher in the embryo/seed part.	It helps in the production of embryos/seeds.	Inaccurate	Yes	No	Identifying genes by their name and numbering.	Using the website and working in pairs.	The explanation was great, but when it came to taking notes (detective), some information was missed due to the speed of the explanation. Other than that, I was able to understand everything during the class.
28/11/24	14:39:10	CEFET	2	15	2	Glyma.12G205700	12	Seed, embryo, hypocotyl, radicle and cotyledon	Accurate	Radicle:  median - 192.24 mean - 229.13	High, 0.691.	Yes, it is specific to the radicle (root tip).	This gene is responsible for some regulatory process in the root, such as nutrient absorption.         	Accurate	Yes	No	The importance of genes for plants.	Being a gene detective.	No.
28/11/24	14:39:38	CEFET	2	16	2	Glyma.16G043200	16	Nodule, root, pod and leaf	Accurate	Mean - Nodule: 113.3 median – Pod: 96.95	High: 0.627.	Yes. Pod, nodule and seedling.	It helps the plant absorb nutrients.	Inaccurate	Yes	Yes	About the functions of some plant parts.	Learning more about plants interactively.	No.
28/11/24	14:40:13	CEFET	2	17	2	Glyma.06G084100	6	The leaves and shoots	Accurate	Folhas: median = 30,71/ Mean = 31,53. Brotos: median = 27,59/ Mean = 29,12.	Low, 0,388.	Yes, leaf and shoot.	The gene functions to protect soybean leaves and shoots against environmental stresses, such as temperature changes.	Accurate	Yes	Yes	Composition of genes in soybeans.	Acting as a detective and learning new things.	None.
28/11/24	14:40:53	CEFET	2	18	2	Glyma.07G186300	7	On the right side of the flower	Accurate	Median flower 18; Mean flower 4, all plant 2, pod 5	High. 1	It may be mainly present in the pod of the plant.	We believe it plays a role in soybean defense against microorganisms.	Accurate	Yes	Yes	About soybean genes.	Researching about genes.	No
28/11/24	14:41:21	CEFET	2	19	2	Glyma.15G260900	15	Nodules	Accurate	median: 221.5 nodules. Mean: 2.767784 all plant, 1.801752 root, 2.247909 nodules	0.999 is the Tau value, which is therefore considerably high.	Yes, it is a gene specific to the plant's nodules.	I believe it is responsible for the development of nodules in soybean roots, enabling nitrogen absorption.	Accurate	Yes	Yes	Some information about the soybean genome, its production, and possible functions.	Researching in the atlas about the proposed gene.	No. 
28/11/24	14:41:53	CEFET	2	20	2	Glyma.15G049200	15	Seed Coat	Accurate	median: seed coat = 212.18; median: seed = 5.29 Mean: seed coat = 2.83; Mean: seed = 5.06	High! The value is 0.974.	Yes. Seed coat and seed.	Sugar transporter	Accurate	No	I learned about gene expression, discovered more about soybeans, and developed an investigative mindset.	Investigating	No!	
28/11/24	14:42:05	CEFET	2	21	3	Glyma.10G246300	10	Seeds, cotyledon and embryo 	Accurate	Mean: seed coat = 2.83; Mean: seed = 5.06	It is high but not specific to any particular part. Its value is 0.796.	Yes, it is most expressed in the cotyledon, seed, and embryo.	I suppose it is responsible for absorbing energy from the mother plant.	Accurate	Yes	No	The genetics of soybeans and other basic things that I wasn't so sure about before.	The detective part.	No.
28/11/24	14:42:22	CEFET	2	22	2	Glyma.08G183500	8	Seeds, seed coats, embryo, and pod in a reduced manner    	Accurate	Seed: median= 102.9132120 Mean= 3.117997e+02 Seed coat: median= 1517.3299370 Mean= 1.533064e+03	High, its value is 0.912.	Yes, seed, seed coat, suspensor, embryo e endosperm	It transports proteins for embryonic development and seed maturation.	Accurate	Yes	Yes	I learned about the soybean cycle, its uses as a product, its impact on the Brazilian economy, how the biological aspects of the plant work, and its genes.	The interactive atlas.	No
28/11/24	14:44:54	CEFET	2	23	2	Glyma.11G234600	11	In the seedling, root, and flowers of the plant, primarily         	Accurate	Seedling: - Mean = 50.01 - median = 41.39 Root: - Mean = 20.54 - median = 16.06 Flower: - Mean = 18.82 - median = 17.51	0.494. Low	There is a concentration of genes in specific parts of the plant, such as the root, flowers, and seedling.	After all the evidence and descriptions, we conclude that this gene functions as an amino acid transporter in the plant.	Accurate	Yes	No	We learned about various topics involving genetics and nucleic acids, further developing our understanding of the inner workings of soybeans and what happens inside them.	We liked the clear and didactic way everything was presented.	No, we don't have suggestions for improvement
