Carimbo de data/hora	Nome da escola	Ano que está cursando	Qual é a identificação (ID) do gene suspeito?	Qual é o número do cromossomo (Chr) da soja onde este gene está?	Qual parte ou quais partes da planta aparecem mais destacadas?	Qual é a média e a mediana de expressão do gene para cada uma das partes identificadas?	O valor de "Tau" desse gene é alto ou baixo? Qual é o valor?	É um gene específico para alguma(s) parte(s) da planta? Diga qual ou quais partes caso seja específico. 	Você como um detetive super competente acabou de reunir várias informações sobre o gene investigado. Reunindo todas essas provas, qual é a sua hipótese sobre a função desse gene na soja? Ou seja, o que você acha que esse gene faz?	Você gostou de ser um detetive de genes por um dia? 	Você já tinha ouvido falar de expressão gênica?	O que você aprendeu com esta atividade?	O que mais gostou na atividade?	Há alguma sugestão de melhoria?
21/10/2024 08:53:31	CE Visconde Do Rio Branco	2º ano	Glyma.11G234600	11G	Seedling e Root	Seedling: média: 41.396421, mediana: 50.0121085 Epicotyl: média: 26.312993, mediana: 25.8171098	Alto. 0,494	Plântula	Ajuda no desenvolvimento das plantas, como na germinação	Sim	Não	O que é a soja, como ela germina, parte externa e interna da planta	as explicações das apresentadoras	nenhuma
21/10/2024 10:33:29	C.E. Visconde do Rio Branco	3º ano	246	10	Seed	Seed: 557.54 e Embryo: 1045.86	796	Não	Endosperma	Sim	Não	O desenvolvimento da soja	Essa parte de ser detetive	Não, está tudo ótimo!
21/10/2024 10:33:32	C.E. Visconde do Rio Branco	3º ano	Glyma.01G079550	1	seed Coat	seed coat 1 193047, Mean: 18	Valor alto 0,88	e especifico, partes especificas: tegumento,suspensor,endosperma	ele e responsavel pelo crescimento e a nutriçao da planta	Sim	Sim	ver os genes da planta a categoria, como desenvolve, a parte do gene	a explicaçao do processo da formaçao das plantas e outros	nao
21/10/2024 10:36:06	C. E. Visconde Do Rio Branco	3º ano	Glyma.11G234600	11	Seedling	50.0	494	Broad	TRANSPORTADOR DE AMINOÁCIDOS	Sim	Sim	Sobre Soja	Pesquisa	Nada
21/10/2024 10:37:50	CE Visconde do Rio Branco	3º ano	Glyma.11G234600	2	Folha	Média-13.6 mediana-9.6	Alto,1	vagem	Está relacionado a vagem	Sim	Sim	sobre soja	Bom bom	A apresentação foi perfeita
27/11/2024 15:14:35	CEFET	3º ano	Glyma.16G043200	16	Folha, raiz, nódulo	Vagem = 96.95 / 95.98 Plântula = 67.7 / 66.98 Nódulo = 64.02 / 113.30 OBS.: Folha e raiz no gráfico t-SNE aparecem mais destacados em vermelho, porém, no gráfico de média e mediana possuem valores baixos	Alto, 0.627	Não é específico de algumas partes	Ele auxilia a planta a resistir a temperaturas muito altas e seca, ou seja, não secam com facilidade e conseguem sobreviver a mais tempo sem água, se adaptam melhor a essas condições.	Sim	Sim	Aprendi mais sobre os genes da soja e sobre suas classificações de DNA	Gostei da parte de ser detetive	Não, foi ótimo
27/11/2024 15:16:49	CEFET-RJ campus Petrópolis	3º ano	Glyma.18G045000	18	Em praticamente toda a planta.	Mediana: 128.73158 Média: 135.20973	Baixo. 0,131	Não.	Ele está em praticamente toda a planta, logo ele pode estar envolvido no transporte de nutrientes e proteínas por toda a planta.	Sim	Sim	Aprendemos a como identificar a expressão de um gene em uma planta.	Os gráficos.	Tradução dos gráficos.
27/11/2024 15:18:48	CEFET RJ - Petrópolis	3º ano	Glyma.02G069200	2	Folha e vagem.	media: folha - 2.75 TPM vagem - 13.65 TPM  mediana: folha- 0 vagem- 9.67 TPM	alto, 1.	Sim, especifico da vagem.	A função desse gene é formar nutrientes e com eles ajudar a manter a integridade das mucosas, que ajuda na defesa contra agentes externos.	Sim	Sim	aprendemos mais sobre genes de plantas.	a utilização do site "soyaltas" para solucionar o mistério.	nenhuma.
27/11/2024 15:19:02	Cefet	3º ano	Glyma.01G079550	1	Seet Coat e o Suspensor, foi ajustado a escala de TPM tendo como mínimo 0 e o máximo 60	Mediana: Suspensor - 14.3TPM e o Seet Coat - 11.9TPM; Média: Suspensor - 9.7TPM e o Seet Coat - 18.6TPM	Alto, o valor é 0,88.	Sim, é especifico para o tegumento, suspensor e o endosperma	Minha hipótese é que o gene faz o revestimento do embrião, forma a semente envolta do embrião. 	Sim	Não	Aprendi a utilizar o site e conhecer os genes	A parte da atividade do gene	Não
27/11/2024 15:22:05	CEFET - campus Petrópolis	3º ano	Glyma.08G183500	08G	Seed e seed coat	mediana: 1517.3299370 e média: 1.533064e+03	0,912	tegumento, semente, suspensor, endosperma	Transporta o açúcar.	Sim	Não	Sobree o Dna da soja, e sobre as expressões	Como identificar a os genes, ou a posição do cromossomo.	Não
